iter	RMSE
0	0.2897490207
1	0.2803023156
2	0.2714935182
3	0.263395169
4	0.2551958179
5	0.2468730505
6	0.2404681517
7	0.2327471748
8	0.2260061304
9	0.2200355387
10	0.2133459624
11	0.2072571997
12	0.2010640669
13	0.1949401569
14	0.1901952216
15	0.1848657897
16	0.1796467713
17	0.1750997745
18	0.1706422168
19	0.1660285094
20	0.1623890091
21	0.1582913993
22	0.1539763499
23	0.1496295039
24	0.1456146597
25	0.1418431519
26	0.137975362
27	0.1343096757
28	0.1310463745
29	0.1284110542
30	0.1250694599
31	0.1219524765
32	0.1191510765
33	0.1165339906
34	0.1137874509
35	0.1109697913
36	0.1083566239
37	0.1058228947
38	0.103166931
39	0.1007447387
40	0.0986736193
41	0.09653688063
42	0.09499697055
43	0.09295344257
44	0.09138297829
45	0.08955391041
46	0.08783764219
47	0.0863102086
48	0.08464224721
49	0.08304460527
50	0.08137554448
51	0.08025934541
52	0.07904276103
53	0.0777871692
54	0.07654234478
55	0.07533850357
56	0.07416130159
57	0.07311022254
58	0.0719971499
59	0.07084870271
60	0.07015046482
61	0.06933792312
62	0.06840285383
63	0.06753709496
64	0.0667646883
65	0.06578327528
66	0.06494524318
67	0.0642594823
68	0.06344293454
69	0.06298407784
70	0.06225360406
71	0.0615609634
72	0.0609006085
73	0.06034945605
74	0.05977719102
75	0.05928619844
76	0.05882757172
77	0.05832684901
78	0.05788315619
79	0.05747129285
80	0.05692489772
81	0.05655092031
82	0.05617552338
83	0.05578796052
84	0.0554582319
85	0.05523146222
86	0.05491501392
87	0.05464629758
88	0.05431299425
89	0.05393738291
90	0.05365302789
91	0.05345481188
92	0.05318740408
93	0.05293258986
94	0.052689477
95	0.05246208792
96	0.05228666952
97	0.05219256021
98	0.05205310821
99	0.05180127262
100	0.05160067905
101	0.05145890045
102	0.05128328725
103	0.05115689192
104	0.05100686562
105	0.05082517374
106	0.05068987466
107	0.05053806795
108	0.05039023155
109	0.05027541602
110	0.0501302529
111	0.04998223965
112	0.04985266558
113	0.04971041883
114	0.04960521637
115	0.04950542187
116	0.04941121111
117	0.04931393629
118	0.04919945008
119	0.04910200065
120	0.04898291295
121	0.04889279317
122	0.04886895805
123	0.04880292616
124	0.04872134108
125	0.04865150504
126	0.04858916643
127	0.04850743056
128	0.04850704428
129	0.04842396492
130	0.04837127894
131	0.0483459844
132	0.04827184093
133	0.04822056965
134	0.0481412957
135	0.04806254555
136	0.04800103417
137	0.04794840228
138	0.04790761891
139	0.04785285459
140	0.04777849667
141	0.04774529182
142	0.04771048264
143	0.04770111682
144	0.04765872428
145	0.0475924818
146	0.04756760645
147	0.04750744552
148	0.04749195695
149	0.04744876006
150	0.0474333638
151	0.04742019796
152	0.04734083762
153	0.04731670879
154	0.04726362677
155	0.04719888795
156	0.0471439283
157	0.04712278236
158	0.0470909841
159	0.04705172929
160	0.04701076738
161	0.04698524351
162	0.04696022967
163	0.04690227743
164	0.04688368812
165	0.04685928888
166	0.04682438167
167	0.04678183494
168	0.0467094909
169	0.04665659413
170	0.04664865099
171	0.04661826278
172	0.04660384052
173	0.04658152176
174	0.04654133878
175	0.0465332557
176	0.04651364924
177	0.04648139709
178	0.04645601106
179	0.04643042982
180	0.04641433528
181	0.04635533045
182	0.04631348155
183	0.0462820137
184	0.04624342136
185	0.04621550375
186	0.04617869748
187	0.0461541899
188	0.04612933405
189	0.04608507694
190	0.04607186251
191	0.04604271127
192	0.04603026223
193	0.04601566335
194	0.04598273747
195	0.04595894857
196	0.04595220445
197	0.04593745789
198	0.0458973183
199	0.04588759386
200	0.04586129029
201	0.04582266752
202	0.04580244618
203	0.04577496704
204	0.04574562191
205	0.04572364055
206	0.04567657387
207	0.04564845256
208	0.0456400143
209	0.04562160412
210	0.04559344671
211	0.04557263139
212	0.04556420245
213	0.04552174441
214	0.04547901853
215	0.04546057607
216	0.04545342822
217	0.04544419468
218	0.04542825124
219	0.0453852578
220	0.04535556952
221	0.04534482045
222	0.04533236515
223	0.04531900687
224	0.04528655318
225	0.04526729426
226	0.04524434832
227	0.04523031193
228	0.04520061554
229	0.0451877313
230	0.04517313923
231	0.04514685104
232	0.04509292929
233	0.04508819818
234	0.04506715713
235	0.04500159404
236	0.0449953142
237	0.04496071569
238	0.04495322146
239	0.04490956273
240	0.04489689033
241	0.04487007636
242	0.0448575345
243	0.04485493288
244	0.0448380838
245	0.04483190556
246	0.0448073869
247	0.04477987895
248	0.04474860209
249	0.04474120973
250	0.04472331707
251	0.04471873428
252	0.04470922768
253	0.04470033908
254	0.04468021148
255	0.04467068093
256	0.04465899386
257	0.04459892596
258	0.04455372166
259	0.04454947235
260	0.044493116
261	0.04448168094
262	0.04446019343
263	0.0444557523
264	0.04444832161
265	0.04439884405
266	0.04439376629
267	0.04438067092
268	0.0443407837
269	0.04433331869
270	0.04432566349
271	0.04431598466
272	0.04431001617
273	0.04426027794
274	0.04425106906
275	0.04423301272
276	0.0441864748
277	0.04412686603
278	0.04407056748
279	0.04404390802
280	0.04401344691
281	0.04400497255
282	0.0439994918
283	0.04398157449
284	0.04397656959
285	0.04393799319
286	0.04393343642
287	0.0439314645
288	0.04391190153
289	0.04390576339
290	0.0438941126
291	0.04388963458
292	0.04384961684
293	0.04384424554
294	0.04383286135
295	0.04380836013
296	0.04376649847
297	0.04373501427
298	0.04370978177
299	0.04367545233
300	0.04366813642
301	0.04365518231
302	0.04365020483
303	0.043641842
304	0.04362855999
305	0.04360784296
306	0.04356336983
307	0.04352610724
308	0.04351127715
309	0.04350697985
310	0.04349398273
311	0.04349065263
312	0.04348006185
313	0.04344908768
314	0.04343357508
315	0.0434271288
316	0.04342280977
317	0.04339892173
318	0.04337279025
319	0.04333589645
320	0.04333284432
321	0.04332976337
322	0.04329749113
323	0.04326434445
324	0.04326051801
325	0.04320287412
326	0.04317697403
327	0.04316887888
328	0.04315028499
329	0.04311197716
330	0.04309992502
331	0.04308113967
332	0.04302890702
333	0.04298502278
334	0.04297129847
335	0.04296685304
336	0.04293256387
337	0.04292765762
338	0.04292647293
339	0.04290446933
340	0.04288696901
341	0.04287505504
342	0.04287148633
343	0.04284084502
344	0.04283779075
345	0.04280042173
346	0.04279795455
347	0.04278765484
348	0.04275936829
349	0.0427435421
350	0.04270974547
351	0.04270233601
352	0.04267658153
353	0.0426688759
354	0.04264364812
355	0.04263222788
356	0.04258894008
357	0.0425861246
358	0.04255948354
359	0.04252702114
360	0.04252341415
361	0.04250697765
362	0.04249725665
363	0.04249370144
364	0.04249236153
365	0.04248206035
366	0.0424574596
367	0.04243709026
368	0.04241480815
369	0.0424122915
370	0.04241093529
371	0.04240218795
372	0.04239455819
373	0.04238931544
374	0.04238426529
375	0.04236119002
376	0.04234049038
377	0.04229552479
378	0.04228098951
379	0.04225700979
380	0.04221396721
381	0.04221084841
382	0.04220930919
383	0.04220704964
384	0.04215837355
385	0.04213033812
386	0.04209729518
387	0.04208393884
388	0.04205485044
389	0.0420332006
390	0.04201357167
391	0.04198790813
392	0.04195218538
393	0.04193808287
394	0.0419066537
395	0.04190464452
396	0.04189711997
397	0.04184610431
398	0.04184274094
399	0.04181126326
400	0.04181013908
401	0.04178566187
402	0.04173983619
403	0.04173821351
404	0.04173440187
405	0.04170900298
406	0.04168373153
407	0.04166707539
408	0.04163767101
409	0.04161902037
410	0.04159373668
411	0.04158268389
412	0.04156336022
413	0.04156162914
414	0.04153392609
415	0.04152855502
416	0.04152755785
417	0.04148150135
418	0.04145980222
419	0.04143183841
420	0.04141709334
421	0.04139597305
422	0.04136860685
423	0.04135229953
424	0.04133620412
425	0.0413204382
426	0.04129633932
427	0.04128246067
428	0.04125113888
429	0.04124044662
430	0.04119782943
431	0.04117782852
432	0.04117661608
433	0.04117561961
434	0.04117368821
435	0.041137251
436	0.04111700583
437	0.04109998536
438	0.0410624185
439	0.0410612408
440	0.04103272599
441	0.0410191328
442	0.04097429926
443	0.04093907215
444	0.04093708505
445	0.04089605855
446	0.04086423972
