iter	Passed	Remaining
404	8091	11887
405	8111	11867
406	8128	11843
407	8146	11820
408	8166	11800
409	8185	11779
410	8205	11758
411	8225	11739
412	8245	11718
413	8266	11701
414	8286	11680
415	8306	11661
416	8325	11640
417	8346	11620
418	8364	11598
419	8382	11576
420	8401	11554
421	8422	11535
422	8440	11514
423	8459	11491
424	8477	11470
425	8494	11445
426	8513	11424
427	8532	11402
428	8549	11379
429	8568	11358
430	8585	11334
431	8604	11313
432	8622	11290
433	8641	11269
434	8663	11252
435	8685	11234
436	8708	11218
437	8731	11202
438	8752	11185
439	8776	11169
440	8795	11148
441	8820	11135
442	8842	11118
443	8866	11102
444	8885	11081
445	8903	11059
446	8922	11038
447	8944	11020
448	8966	11003
449	8989	10987
450	9013	10972
451	9035	10954
452	9058	10937
453	9080	10921
454	9104	10904
455	9123	10884
456	9142	10863
457	9165	10845
458	9190	10831
459	9212	10814
460	9232	10794
461	9254	10777
462	9273	10755
463	9292	10734
464	9309	10710
465	9327	10688
466	9346	10667
467	9365	10646
468	9384	10625
469	9404	10604
470	9424	10584
471	9445	10566
472	9466	10547
473	9487	10528
474	9508	10509
475	9528	10489
476	9548	10469
477	9569	10450
478	9589	10429
479	9608	10409
480	9626	10386
481	9645	10366
482	9663	10343
483	9696	10337
484	9714	10315
485	9735	10296
486	9754	10274
487	9774	10254
488	9791	10232
489	9808	10209
490	9826	10186
491	9845	10165
492	9865	10145
493	9885	10125
494	9904	10104
495	9923	10083
496	9943	10063
497	9960	10040
498	9980	10020
499	10000	10000
500	10020	9980
501	10038	9958
502	10057	9937
503	10077	9917
504	10097	9897
505	10116	9876
506	10136	9856
507	10155	9835
508	10175	9816
509	10195	9796
510	10216	9776
511	10237	9757
512	10259	9739
513	10285	9725
514	10305	9704
515	10325	9685
516	10345	9665
517	10367	9646
518	10388	9628
519	10408	9607
520	10434	9593
521	10457	9575
522	10475	9554
523	10495	9533
524	10513	9512
525	10534	9492
526	10555	9473
527	10574	9453
528	10596	9434
529	10618	9415
530	10637	9395
531	10658	9376
532	10679	9356
533	10698	9335
534	10718	9316
535	10737	9294
536	10756	9273
537	10777	9255
538	10799	9236
539	10822	9218
540	10840	9197
541	10860	9177
542	10880	9156
543	10901	9137
544	10920	9116
545	10938	9095
546	10956	9073
547	10974	9051
548	10994	9031
549	11012	9010
550	11030	8988
551	11049	8967
552	11066	8945
553	11084	8923
554	11101	8901
555	11123	8883
556	11142	8862
557	11163	8843
558	11185	8824
559	11208	8806
560	11227	8785
561	11246	8764
562	11264	8743
563	11287	8725
564	11308	8706
565	11327	8685
566	11346	8665
567	11366	8645
568	11387	8625
569	11408	8606
570	11432	8589
571	11452	8569
572	11473	8549
573	11493	8530
574	11512	8509
575	11532	8488
576	11553	8470
577	11574	8450
578	11594	8430
579	11614	8410
580	11635	8391
581	11655	8370
582	11676	8351
583	11696	8331
584	11713	8309
585	11733	8289
586	11751	8268
587	11771	8247
588	11790	8227
589	11810	8207
590	11833	8189
591	11860	8174
592	11883	8156
593	11905	8137
594	11924	8116
595	11945	8097
596	11967	8078
597	11989	8059
598	12008	8038
599	12031	8020
600	12052	8001
601	12075	7983
602	12097	7964
603	12119	7945
604	12151	7933
605	12209	7938
606	12232	7919
607	12253	7900
608	12277	7882
609	12304	7866
610	12325	7847
611	12345	7827
612	12364	7806
613	12383	7784
614	12403	7764
615	12421	7742
616	12439	7722
617	12459	7701
618	12483	7683
619	12503	7663
620	12526	7644
621	12551	7627
622	12577	7611
623	12598	7591
624	12619	7571
625	12638	7550
626	12661	7532
627	12683	7513
628	12704	7493
629	12727	7474
630	12748	7455
631	12770	7436
632	12789	7415
633	12807	7393
634	12828	7373
635	12849	7354
636	12872	7335
637	12893	7315
638	12915	7296
639	12937	7277
640	12959	7258
641	12979	7237
642	12999	7217
643	13016	7195
644	13035	7174
645	13056	7155
646	13076	7134
647	13101	7116
648	13129	7100
649	13153	7082
650	13177	7064
651	13199	7044
652	13221	7025
653	13244	7007
654	13264	6986
655	13283	6965
656	13304	6945
657	13328	6927
658	13353	6909
659	13373	6889
660	13397	6871
661	13424	6854
662	13448	6835
663	13471	6817
664	13493	6797
665	13518	6779
666	13543	6761
667	13571	6745
668	13594	6726
669	13613	6705
670	13633	6684
671	13658	6666
672	13675	6644
673	13695	6624
674	13715	6603
675	13736	6583
676	13754	6562
677	13774	6541
678	13791	6520
679	13813	6500
680	13832	6479
681	13851	6458
682	13869	6437
683	13889	6416
684	13906	6395
685	13928	6375
686	13947	6354
687	13967	6333
688	13987	6313
689	14005	6292
690	14026	6272
691	14043	6250
692	14061	6229
693	14081	6208
694	14101	6188
695	14119	6167
696	14136	6145
697	14156	6124
698	14176	6104
699	14197	6084
700	14218	6064
701	14238	6044
702	14257	6023
703	14278	6003
704	14299	5983
705	14321	5963
706	14343	5944
707	14366	5925
708	14386	5904
709	14406	5884
710	14428	5864
711	14445	5843
712	14465	5822
713	14486	5802
714	14508	5783
715	14528	5762
716	14548	5742
717	14573	5723
718	14598	5705
719	14625	5687
720	14654	5670
721	14688	5655
722	14712	5636
723	14736	5617
724	14754	5596
725	14775	5576
726	14795	5556
727	14815	5535
728	14838	5516
729	14861	5496
730	14883	5476
731	14902	5456
732	14926	5437
733	14949	5417
734	14969	5397
735	14990	5376
736	15007	5355
737	15027	5334
738	15049	5315
739	15068	5294
740	15087	5273
741	15104	5252
742	15128	5232
743	15151	5213
744	15172	5193
745	15192	5172
746	15212	5152
747	15231	5131
748	15250	5110
749	15269	5089
750	15289	5069
751	15308	5048
752	15327	5027
753	15347	5007
754	15367	4986
755	15385	4965
756	15406	4945
757	15427	4925
758	15448	4905
759	15468	4884
760	15489	4864
761	15509	4844
762	15529	4823
763	15549	4803
764	15567	4782
765	15585	4760
766	15604	4740
767	15623	4719
768	15646	4699
769	15665	4679
770	15685	4658
771	15707	4638
772	15732	4620
773	15754	4600
774	15777	4580
775	15802	4561
776	15825	4542
777	15845	4521
778	15868	4501
779	15890	4481
780	15913	4462
781	15935	4442
782	15957	4422
783	15981	4403
784	16005	4383
785	16032	4365
786	16053	4344
787	16072	4324
788	16092	4303
789	16116	4284
790	16138	4264
791	16159	4243
792	16181	4223
793	16202	4203
794	16223	4183
795	16248	4164
796	16269	4143
797	16290	4123
798	16312	4103
799	16331	4082
800	16352	4062
801	16373	4042
802	16391	4021
803	16411	4000
804	16433	3980
805	16453	3960
806	16472	3939
807	16490	3918
808	16509	3897
809	16527	3876
810	16546	3856
811	16564	3835
812	16582	3814
813	16600	3793
814	16618	3772
815	16637	3751
816	16657	3731
817	16675	3710
818	16694	3689
819	16712	3668
820	16730	3647
821	16749	3626
822	16766	3605
823	16785	3585
824	16805	3564
825	16825	3544
826	16843	3523
827	16862	3502
828	16879	3481
829	16899	3461
830	16920	3441
831	16942	3421
832	16964	3401
833	16985	3380
834	17004	3360
835	17025	3339
836	17046	3319
837	17067	3299
838	17087	3278
839	17107	3258
840	17127	3238
841	17146	3217
842	17164	3196
843	17184	3176
844	17209	3156
845	17231	3136
846	17252	3116
847	17273	3096
848	17294	3075
849	17314	3055
850	17335	3035
851	17356	3014
852	17376	2994
853	17399	2974
854	17421	2954
855	17444	2934
856	17467	2914
857	17489	2894
858	17509	2874
859	17528	2853
860	17552	2833
861	17578	2814
862	17597	2793
863	17621	2773
864	17642	2753
865	17661	2732
866	17681	2712
867	17703	2692
868	17724	2671
869	17745	2651
870	17767	2631
871	17789	2611
872	17811	2591
873	17830	2570
874	17849	2549
875	17870	2529
876	17894	2509
877	17917	2489
878	17939	2469
879	17961	2449
880	17985	2429
881	18003	2408
882	18025	2388
883	18046	2368
884	18062	2347
885	18080	2326
886	18099	2305
887	18119	2285
888	18137	2264
889	18158	2244
890	18180	2224
891	18201	2203
892	18224	2183
893	18248	2163
894	18269	2143
895	18290	2122
896	18309	2102
897	18329	2081
898	18349	2061
899	18365	2040
900	18384	2020
901	18402	1999
902	18421	1978
903	18444	1958
904	18463	1938
905	18483	1917
906	18501	1897
907	18521	1876
908	18543	1856
909	18566	1836
910	18593	1816
911	18620	1796
912	18648	1777
913	18674	1757
914	18699	1737
915	18723	1717
916	18744	1696
